Regiosoort,Regionaam,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020,07/03/2020,06/03/2020,05/03/2020,04/03/2020,03/03/2020,02/03/2020,01/03/2020
Gemeente,Hoogeveen,5,5,5,4,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Hoorn,11,9,8,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Horst aan de Maas,16,13,13,11,10,8,8,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Houten,25,23,19,17,17,14,13,13,13,13,13,13,13,13,13,13,13,9,9,1,1,0,0
Gemeente,Huizen,3,3,3,3,3,2,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0
Gemeente,Hulst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,IJsselstein,16,13,11,8,8,7,6,4,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Gemeente,Kaag en Braassem,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Kampen,17,14,12,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Kapelle,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Katwijk,6,6,5,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Kerkrade,8,8,6,5,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Koggenland,4,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Krimpen aan den IJssel,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Krimpenerwaard,11,11,9,7,5,4,4,4,4,3,3,3,3,1,1,1,0,0,0,0,0,0,0
Gemeente,Laarbeek,13,11,8,6,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Landerd,23,22,20,20,18,16,14,10,5,5,4,2,2,1,2,1,0,0,0,0,0,0,0
Gemeente,Landgraaf,11,10,9,7,7,7,4,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Landsmeer,5,5,4,4,3,3,3,3,3,2,2,2,0,0,0,0,1,0,0,0,0,0,0
Gemeente,Langedijk,5,4,4,4,4,4,4,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Lansingerland,20,20,16,14,13,10,7,5,5,4,4,4,4,4,3,2,2,1,0,0,0,0,0
Gemeente,Laren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Leeuwarden,10,8,8,5,5,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Leiden,16,16,16,14,12,11,8,8,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0
Gemeente,Leiderdorp,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
